talentlinkId,skills,biography,description,position
87844239,"['Regulatory Reporting', 'SQL', 'Data Governance', 'Risk Controls', 'Data Analysis', 'ETL Design', 'Programme Delivery', 'Python', 'Power BI', 'Stakeholder Management']","Experienced consultant with a background in data, risk, and transformation delivery. Supports complex programmes with a focus on quality, pace, and collaboration.","Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme.",Business Analyst Senior Consultant Risk Analyst
76354180,"['Data Governance', 'Regulatory Reporting', 'Power BI', 'Data Analysis', 'SQL', 'Programme Delivery', 'Stakeholder Management', 'ETL Design', 'Risk Controls', 'Python']","Experienced consultant with a background in data, risk, and transformation delivery. Comfortable translating business needs into clear analysis and execution plans.","Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",Risk Analyst Project Analyst
70407340,"['Stakeholder Management', 'Python', 'Power BI', 'Risk Controls', 'SQL', 'ETL Design', 'Programme Delivery', 'Regulatory Reporting', 'Data Governance']","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans.","Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme.",Senior Consultant Consultant Project Analyst Risk Analyst Business Analyst
61645,"['SQL', 'Programme Delivery', 'Stakeholder Management', 'Data Governance', 'Data Analysis', 'Risk Controls', 'Python', 'Regulatory Reporting', 'ETL Design', 'Power BI']","Business-focused analyst with experience across reporting, controls, and stakeholder engagement. Brings a practical approach to structured problem solving and cross-functional delivery.","Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity.",Project Analyst Senior Consultant Consultant
91439,"['Power BI', 'Python', 'Data Analysis', 'ETL Design', 'Regulatory Reporting', 'Risk Controls', 'Programme Delivery', 'Data Governance']","Consulting professional supporting data quality, governance, and delivery outcomes. Brings a practical approach to structured problem solving and cross-functional delivery.","Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs.",Risk Analyst
84177,"['Stakeholder Management', 'Data Analysis', 'Risk Controls', 'SQL', 'Programme Delivery', 'Power BI', 'Python', 'Regulatory Reporting', 'Data Governance']","Business-focused analyst with experience across reporting, controls, and stakeholder engagement. Brings a practical approach to structured problem solving and cross-functional delivery.","Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme.",Project Analyst Consultant
971084,"['Data Governance', 'ETL Design', 'Power BI', 'Regulatory Reporting', 'Stakeholder Management', 'Data Analysis', 'Python']","Business-focused analyst with experience across reporting, controls, and stakeholder engagement. Supports complex programmes with a focus on quality, pace, and collaboration.","Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",Data Analyst Senior Consultant Consultant
300845,"['ETL Design', 'Data Analysis', 'Risk Controls', 'Power BI', 'Stakeholder Management', 'Programme Delivery', 'Python', 'Regulatory Reporting', 'SQL', 'Data Governance']","Consulting professional supporting data quality, governance, and delivery outcomes. Supports complex programmes with a focus on quality, pace, and collaboration.","Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity.",Business Analyst Senior Consultant Risk Analyst
55728776,"['Python', 'SQL', 'Power BI', 'Data Analysis', 'Risk Controls', 'Programme Delivery', 'Data Governance', 'Stakeholder Management', 'Regulatory Reporting', 'ETL Design']","Experienced consultant with a background in data, risk, and transformation delivery. Comfortable translating business needs into clear analysis and execution plans.","Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",Business Analyst
2010496,"['Programme Delivery', 'Data Governance', 'Power BI', 'Risk Controls', 'ETL Design', 'Stakeholder Management', 'SQL', 'Regulatory Reporting', 'Python', 'Data Analysis']","Consulting professional supporting data quality, governance, and delivery outcomes. Brings a practical approach to structured problem solving and cross-functional delivery.","Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity.",Business Analyst Consultant Project Analyst Risk Analyst Senior Consultant
779094,"['Regulatory Reporting', 'Python', 'SQL', 'Risk Controls', 'Data Governance', 'ETL Design', 'Power BI', 'Data Analysis', 'Stakeholder Management', 'Programme Delivery']","Business-focused analyst with experience across reporting, controls, and stakeholder engagement. Supports complex programmes with a focus on quality, pace, and collaboration.","Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme.",Consultant Senior Consultant Risk Analyst Business Analyst
98117,"['Data Governance', 'Python', 'SQL', 'ETL Design', 'Stakeholder Management', 'Programme Delivery', 'Power BI']","Business-focused analyst with experience across reporting, controls, and stakeholder engagement. Comfortable translating business needs into clear analysis and execution plans.","Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",Data Analyst Business Analyst
1043037,"['Programme Delivery', 'Risk Controls', 'Regulatory Reporting', 'Data Analysis', 'Data Governance', 'Python', 'Stakeholder Management', 'Power BI', 'ETL Design', 'SQL']","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans.","Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",Project Analyst Data Analyst Risk Analyst Consultant
626690,"['Data Analysis', 'SQL', 'Regulatory Reporting', 'Power BI', 'Stakeholder Management', 'Data Governance', 'ETL Design', 'Risk Controls', 'Python', 'Programme Delivery']","Business-focused analyst with experience across reporting, controls, and stakeholder engagement. Brings a practical approach to structured problem solving and cross-functional delivery.","Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs.",Data Analyst Consultant Senior Consultant Project Analyst Business Analyst Risk Analyst
66881,"['ETL Design', 'SQL', 'Python', 'Data Governance', 'Stakeholder Management']","Business-focused analyst with experience across reporting, controls, and stakeholder engagement. Brings a practical approach to structured problem solving and cross-functional delivery.","Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",Senior Consultant Consultant Data Analyst Risk Analyst Business Analyst Project Analyst
44269370,"['Programme Delivery', 'Data Analysis', 'Stakeholder Management', 'Power BI', 'Data Governance', 'ETL Design', 'Risk Controls', 'Python', 'Regulatory Reporting', 'SQL']","Experienced consultant with a background in data, risk, and transformation delivery. Comfortable translating business needs into clear analysis and execution plans.","Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity.",Consultant Senior Consultant Business Analyst
13358751,"['Regulatory Reporting', 'Risk Controls', 'ETL Design', 'Python', 'Stakeholder Management', 'Data Governance', 'Data Analysis', 'Power BI', 'SQL', 'Programme Delivery']","Business-focused analyst with experience across reporting, controls, and stakeholder engagement. Supports complex programmes with a focus on quality, pace, and collaboration.","Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",Senior Consultant Data Analyst Business Analyst
47546086,"['Stakeholder Management', 'Power BI', 'Data Governance', 'ETL Design', 'SQL', 'Python', 'Programme Delivery', 'Risk Controls', 'Regulatory Reporting', 'Data Analysis']","Experienced consultant with a background in data, risk, and transformation delivery. Comfortable translating business needs into clear analysis and execution plans.","Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",Risk Analyst Data Analyst Consultant Senior Consultant Project Analyst
72422,"['Data Analysis', 'Power BI', 'Regulatory Reporting', 'Programme Delivery', 'SQL', 'Risk Controls', 'ETL Design', 'Data Governance', 'Stakeholder Management']","Business-focused analyst with experience across reporting, controls, and stakeholder engagement. Supports complex programmes with a focus on quality, pace, and collaboration.","Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme.",Senior Consultant Project Analyst Data Analyst Consultant Risk Analyst
7390515,"['SQL', 'Data Analysis', 'Stakeholder Management', 'Data Governance', 'Regulatory Reporting', 'Power BI', 'Programme Delivery', 'ETL Design', 'Python', 'Risk Controls']","Experienced consultant with a background in data, risk, and transformation delivery. Supports complex programmes with a focus on quality, pace, and collaboration.","Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme.",Business Analyst Data Analyst Senior Consultant Consultant Project Analyst
494468,"['SQL', 'Regulatory Reporting', 'Python', 'Power BI', 'Risk Controls', 'Data Governance', 'Programme Delivery', 'ETL Design', 'Stakeholder Management', 'Data Analysis']","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans.","Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity.",Consultant Business Analyst
47125,"['ETL Design', 'Regulatory Reporting', 'Data Analysis', 'Data Governance', 'Power BI', 'Risk Controls', 'Python', 'Programme Delivery', 'Stakeholder Management', 'SQL']","Consulting professional supporting data quality, governance, and delivery outcomes. Brings a practical approach to structured problem solving and cross-functional delivery.","Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",Consultant Business Analyst Data Analyst Project Analyst Senior Consultant
70260,"['Risk Controls', 'ETL Design', 'Regulatory Reporting', 'Power BI', 'Data Analysis', 'Data Governance', 'Programme Delivery', 'Python', 'SQL', 'Stakeholder Management']","Business-focused analyst with experience across reporting, controls, and stakeholder engagement. Supports complex programmes with a focus on quality, pace, and collaboration.","Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme.",Risk Analyst Project Analyst Data Analyst Consultant
71462,"['Stakeholder Management', 'Data Analysis', 'Risk Controls', 'Programme Delivery', 'ETL Design', 'SQL', 'Python', 'Regulatory Reporting']","Consulting professional supporting data quality, governance, and delivery outcomes. Brings a practical approach to structured problem solving and cross-functional delivery.","Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme.",Project Analyst Risk Analyst Business Analyst Data Analyst Senior Consultant
23891786,"['Data Governance', 'Programme Delivery', 'Stakeholder Management', 'Regulatory Reporting', 'Risk Controls', 'Python', 'ETL Design', 'Data Analysis', 'SQL', 'Power BI']","Experienced consultant with a background in data, risk, and transformation delivery. Brings a practical approach to structured problem solving and cross-functional delivery.","Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme.",Data Analyst Business Analyst Project Analyst Risk Analyst Senior Consultant
92590645,"['SQL', 'Power BI', 'Data Governance', 'ETL Design', 'Python', 'Programme Delivery', 'Data Analysis', 'Stakeholder Management', 'Risk Controls', 'Regulatory Reporting']","Experienced consultant with a background in data, risk, and transformation delivery. Supports complex programmes with a focus on quality, pace, and collaboration.","Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity.",Consultant Data Analyst Risk Analyst
853448,"['ETL Design', 'Data Analysis', 'Programme Delivery', 'Python', 'Stakeholder Management', 'Risk Controls', 'Power BI', 'Data Governance', 'Regulatory Reporting', 'SQL']","Business-focused analyst with experience across reporting, controls, and stakeholder engagement. Brings a practical approach to structured problem solving and cross-functional delivery.","Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs.",Data Analyst Consultant Senior Consultant Project Analyst Risk Analyst
146489,"['Data Analysis', 'Risk Controls', 'ETL Design', 'Data Governance', 'SQL', 'Power BI', 'Regulatory Reporting', 'Python', 'Stakeholder Management']","Consulting professional supporting data quality, governance, and delivery outcomes. Comfortable translating business needs into clear analysis and execution plans.","Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity.",Business Analyst Consultant Project Analyst Senior Consultant Risk Analyst
1802018,"['Data Analysis', 'Programme Delivery', 'Data Governance', 'Python', 'SQL', 'Stakeholder Management', 'Risk Controls', 'Regulatory Reporting', 'Power BI', 'ETL Design']","Business-focused analyst with experience across reporting, controls, and stakeholder engagement. Supports complex programmes with a focus on quality, pace, and collaboration.","Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",Business Analyst Senior Consultant Project Analyst Data Analyst Consultant
90882505,"['Programme Delivery', 'Power BI', 'Data Analysis', 'Stakeholder Management']","Business-focused analyst with experience across reporting, controls, and stakeholder engagement. Brings a practical approach to structured problem solving and cross-functional delivery.","Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs.",Business Analyst Project Analyst Consultant Risk Analyst
7423230,"['Data Analysis', 'Programme Delivery', 'Power BI', 'Stakeholder Management', 'Regulatory Reporting', 'Data Governance', 'SQL', 'Risk Controls', 'ETL Design', 'Python']","Business-focused analyst with experience across reporting, controls, and stakeholder engagement. Comfortable translating business needs into clear analysis and execution plans.","Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs. Supported reporting and control improvements across a regulated programme. Supported reporting and control improvements across a regulated programme. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Supported reporting and control improvements across a regulated programme. Supported reporting and control improvements across a regulated programme. Worked with business and technology teams to refine requirements and test delivery outputs. Contributed to stakeholder coordination, issue tracking, and process improvement activity. Worked with business and technology teams to refine requirements and test delivery outputs.",Senior Consultant Data Analyst Risk Analyst Project Analyst Business Analyst Consultant
